"count_code"	"postal_code"	"place_name"	"admin_name1"	"admin_code1"	"admin_name2"	"admin_code2"	"admin_name3"	"admin_code3"	"lattitude"	"longitude"	"accuracy"
"53"	"US"	46277	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"54"	"US"	46278	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.8726	-86.2768	4
"55"	"US"	46282	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"56"	"US"	46283	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"57"	"US"	46285	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"58"	"US"	46291	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"59"	"US"	46295	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"60"	"US"	46296	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.796	-86.1495	4
"61"	"US"	46298	"Indianapolis"	"Indiana"	"IN"	"Marion"	97	NA	NA	39.7795	-86.1328	4
"62"	"US"	71852	"Nashville"	"Arkansas"	"AR"	"Howard"	61	NA	NA	33.9576	-93.8707	4
"63"	"US"	31639	"Nashville"	"Georgia"	"GA"	"Berrien"	19	NA	NA	31.2074	-83.2319	4
"64"	"US"	62263	"Nashville"	"Illinois"	"IL"	"Washington"	189	NA	NA	38.3352	-89.3841	4
"65"	"US"	47448	"Nashville"	"Indiana"	"IN"	"Brown"	13	NA	NA	39.2367	-86.222	4
"66"	"US"	67112	"Nashville"	"Kansas"	"KS"	"Kingman"	95	NA	NA	37.4344	-98.4171	4
"67"	"US"	49073	"Nashville"	"Michigan"	"MI"	"Barry"	15	NA	NA	42.5937	-85.122	4
"68"	"US"	27856	"Nashville"	"North Carolina"	"NC"	"Nash"	127	NA	NA	35.9843	-77.9595	4
"69"	"US"	44661	"Nashville"	"Ohio"	"OH"	"Holmes"	75	NA	NA	40.5956	-82.113	4
"70"	"US"	37201	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1657	-86.7781	4
"71"	"US"	37202	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.3403	-86.8273	4
"72"	"US"	37203	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1504	-86.7916	4
"73"	"US"	37204	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1067	-86.7743	4
